SA2,L42,L104,Lmore,Total
Monbulk - Silvan,2195,1203,174,3572
Montmorency - Briar Hill,5268,4468,876,10612
Montrose,2414,1647,237,4298
Moonee Ponds,4388,3819,1228,9435
Moorabbin - Heatherton,2846,1930,480,5256
Moorabbin Airport,0,0,0,0
Mooroolbark,7769,5210,634,13613
Mordialloc - Parkdale,6247,4915,1267,12429
Mornington,8494,5051,802,14347
Mount Dandenong - Olinda,3297,2547,602,6446
Mount Eliza,5674,3968,1578,11220
Mount Evelyn,3363,2396,236,5995
Mount Martha,5543,4046,888,10477
Mount Waverley - North,5930,3535,1003,10468
Mount Waverley - South,6734,4125,1116,11975
Mulgrave,7308,4280,649,12237
Murrumbeena,2951,2403,650,6004
Narre Warren,10165,5901,418,16484
Narre Warren North,2446,1610,435,4491
Narre Warren South,9801,6734,797,17332
Newport,5046,4408,1404,10858
Niddrie - Essendon West,2255,1603,381,4239
Noble Park,13683,4572,211,18466
Noble Park North,3454,1412,82,4948
North Melbourne,5674,4049,1137,10860
Northcote,7611,6501,1924,16036
Nunawading,4047,2647,506,7200
Oakleigh - Huntingdale,8222,4725,813,13760
Ormond - Glen Huntly,4429,3303,845,8577
Pakenham - North,4500,3083,201,7784
Pakenham - South,7474,4952,410,12836
Panton Hill - St Andrews,1768,1244,312,3324
Parkville,3284,1179,403,4866
Pascoe Vale,7849,5259,824,13932
Pascoe Vale South,3450,2291,516,6257
Pearcedale - Tooradin,2768,1835,173,4776
Plenty - Yarrambat,3020,2351,630,6001
Point Cook,8793,9210,2373,20376
Point Nepean,6691,2965,526,10182
Port Melbourne,3736,4295,2714,10745
Port Melbourne Industrial,0,0,3,3
Prahran - Windsor,4923,5956,2114,12993
Preston,12039,6641,983,19663
Research - North Warrandyte,2096,1691,609,4396
Reservoir - East,11262,4805,430,16497
Reservoir - West,10215,4554,449,15218
Richmond (Vic.),7749,8778,3126,19653
Riddells Creek,1278,1015,194,2487
Ringwood,6204,4003,580,10787
Ringwood East,6908,4957,822,12687
Ringwood North,3213,2452,610,6275
Rockbank - Mount Cottrell,745,326,28,1099
Romsey,3044,2016,341,5401
Rosebud - McCrae,9043,3113,291,12447
Rowville - Central,5789,3917,657,10363
Rowville - North,2707,2092,383,5182
Rowville - South,3687,2862,546,7095
Roxburgh Park - Somerton,8037,3257,218,11512
Sandringham - Black Rock,4525,3511,2077,10113
Seabrook,1791,1210,158,3159
Seaford (Vic.),6343,3856,344,10543
Seddon - Kingsville,2664,2413,657,5734
Skye - Sandhurst,3203,2997,441,6641
Somerville,6611,4039,517,11167
South Melbourne,2967,2751,1590,7308
South Morang,11461,10709,1094,23264
South Yarra - East,4055,5047,2103,11205
South Yarra - West,1428,2050,1009,4487
Southbank,3359,4006,1607,8972
Springvale,10503,2583,167,13253
Springvale South,5983,1838,88,7909
St Albans - North,9342,2466,123,11931
St Albans - South,8114,2217,87,10418
St Kilda,5937,8238,2511,16686
St Kilda East,4649,5575,1332,11556
Strathmore,2985,2322,712,6019
Sunbury,4400,3150,520,8070
Sunbury - South,8718,6284,772,15774
Sunshine,3977,1524,162,5663
Sunshine North,5274,1542,84,6900
Sunshine West,8207,2569,158,10934
Surrey Hills (East) - Mont Albert,3193,2378,1217,6788
Surrey Hills (West) - Canterbury,5019,3624,2512,11155
Sydenham,4158,2705,257,7120
Tarneit,6771,5915,552,13238
Taylors Hill,4873,4030,462,9365
Taylors Lakes,7087,4344,720,12151
Templestowe,6280,3898,1444,11622
Templestowe Lower,5156,3077,796,9029
Thomastown,10348,2928,133,13409
Thornbury,6385,4551,957,11893
Toorak,3492,3506,2620,9618
Total,1502191,946087,211965,2660243
Truganina,3210,2890,250,6350
Tullamarine,2645,1592,103,4340
Upwey - Tecoma,3418,2611,402,6431
Vermont,3615,2483,532,6630
Vermont South,4550,2711,768,8029
Viewbank - Yallambie,6599,4770,928,12297
Wallan,4060,2816,372,7248
Wandin - Seville,2742,1746,185,4673
Wantirna,5391,3635,613,9639
Wantirna South,7318,4108,985,12411
Warrandyte - Wonga Park,3271,2459,977,6707
Watsonia,3449,2326,318,6093
Wattle Glen - Diamond Creek,4523,3632,757,8912
Werribee,11801,6373,578,18752
Werribee - South,4389,2440,313,7142
West Footscray - Tottenham,4052,2402,340,6794
West Melbourne,0,0,0,0
Wheelers Hill,7672,4627,1335,13634
Whittlesea,2665,1707,216,4588
Williamstown,4651,3619,1711,9981
Wyndham Vale,5731,4402,317,10450
Yarra - North,2395,2497,1051,5943
Yarra Valley,6580,2981,259,9820
Yarraville,4409,3928,1149,9486
